A8: (0, 0), (100, 0), (100, 100), (0, 100)
B8: (100, 0), (200, 0), (200, 100), (100, 100)
C8: (200, 0), (300, 0), (300, 100), (200, 100)
D8: (300, 0), (400, 0), (400, 100), (300, 100)
E8: (400, 0), (500, 0), (500, 100), (400, 100)
F8: (500, 0), (600, 0), (600, 100), (500, 100)
G8: (600, 0), (700, 0), (700, 100), (600, 100)
H8: (700, 0), (800, 0), (800, 100), (700, 100)
A7: (0, 100), (100, 100), (100, 200), (0, 200)
B7: (100, 100), (200, 100), (200, 200), (100, 200)
C7: (200, 100), (300, 100), (300, 200), (200, 200)
D7: (300, 100), (400, 100), (400, 200), (300, 200)
E7: (400, 100), (500, 100), (500, 200), (400, 200)
F7: (500, 100), (600, 100), (600, 200), (500, 200)
G7: (600, 100), (700, 100), (700, 200), (600, 200)
H7: (700, 100), (800, 100), (800, 200), (700, 200)
A6: (0, 200), (100, 200), (100, 300), (0, 300)
B6: (100, 200), (200, 200), (200, 300), (100, 300)
C6: (200, 200), (300, 200), (300, 300), (200, 300)
D6: (300, 200), (400, 200), (400, 300), (300, 300)
E6: (400, 200), (500, 200), (500, 300), (400, 300)
F6: (500, 200), (600, 200), (600, 300), (500, 300)
G6: (600, 200), (700, 200), (700, 300), (600, 300)
H6: (700, 200), (800, 200), (800, 300), (700, 300)
A5: (0, 300), (100, 300), (100, 400), (0, 400)
B5: (100, 300), (200, 300), (200, 400), (100, 400)
C5: (200, 300), (300, 300), (300, 400), (200, 400)
D5: (300, 300), (400, 300), (400, 400), (300, 400)
E5: (400, 300), (500, 300), (500, 400), (400, 400)
F5: (500, 300), (600, 300), (600, 400), (500, 400)
G5: (600, 300), (700, 300), (700, 400), (600, 400)
H5: (700, 300), (800, 300), (800, 400), (700, 400)
A4: (0, 400), (100, 400), (100, 500), (0, 500)
B4: (100, 400), (200, 400), (200, 500), (100, 500)
C4: (200, 400), (300, 400), (300, 500), (200, 500)
D4: (300, 400), (400, 400), (400, 500), (300, 500)
E4: (400, 400), (500, 400), (500, 500), (400, 500)
F4: (500, 400), (600, 400), (600, 500), (500, 500)
G4: (600, 400), (700, 400), (700, 500), (600, 500)
H4: (700, 400), (800, 400), (800, 500), (700, 500)
A3: (0, 500), (100, 500), (100, 600), (0, 600)
B3: (100, 500), (200, 500), (200, 600), (100, 600)
C3: (200, 500), (300, 500), (300, 600), (200, 600)
D3: (300, 500), (400, 500), (400, 600), (300, 600)
E3: (400, 500), (500, 500), (500, 600), (400, 600)
F3: (500, 500), (600, 500), (600, 600), (500, 600)
G3: (600, 500), (700, 500), (700, 600), (600, 600)
H3: (700, 500), (800, 500), (800, 600), (700, 600)
A2: (0, 600), (100, 600), (100, 700), (0, 700)
B2: (100, 600), (200, 600), (200, 700), (100, 700)
C2: (200, 600), (300, 600), (300, 700), (200, 700)
D2: (300, 600), (400, 600), (400, 700), (300, 700)
E2: (400, 600), (500, 600), (500, 700), (400, 700)
F2: (500, 600), (600, 600), (600, 700), (500, 700)
G2: (600, 600), (700, 600), (700, 700), (600, 700)
H2: (700, 600), (800, 600), (800, 700), (700, 700)
A1: (0, 700), (100, 700), (100, 800), (0, 800)
B1: (100, 700), (200, 700), (200, 800), (100, 800)
C1: (200, 700), (300, 700), (300, 800), (200, 800)
D1: (300, 700), (400, 700), (400, 800), (300, 800)
E1: (400, 700), (500, 700), (500, 800), (400, 800)
F1: (500, 700), (600, 700), (600, 800), (500, 800)
G1: (600, 700), (700, 700), (700, 800), (600, 800)
H1: (700, 700), (800, 700), (800, 800), (700, 800)
